1314,494,1
1316,537,1
1327,1754,0
1328,1710,0
1329,1083,1
1333,718,0
1335,2530,1
1344,433,0
1346,1683,1
1352,2011,0
1376,982,1
1388,2620,0
1390,1888,0
1401,668,1
1403,1845,0
1409,705,1
1413,3048,0
1418,1127,1
1435,1034,1
1461,1072,1
1464,2193,1
1466,2068,0
1480,510,0
1480,958,0
1480,2559,0
1489,681,1
1500,651,1
1521,811,1
1526,1088,1
1529,1000,0
1562,699,1
1563,2909,1
1571,925,1
1582,1440,1
1590,917,1
1594,1199,0
1594,1824,0
1600,1980,1
1621,422,0
1625,863,1
1639,2257,1
1647,1573,1
1649,641,1
1666,3062,1
1668,2377,1
1679,2545,1
1701,2157,1
1707,242,1
1716,520,0
1716,2481,0
1738,2167,0
1741,1778,1
1744,2380,1
1761,1695,1
1771,497,1
1776,2961,1
1812,721,1
1830,1023,1
1831,759,1
1832,1194,1
1838,536,1
1839,1489,1
1840,1147,1
1842,283,0
1843,862,1
1863,2218,1
1866,346,0
1873,1612,1
1885,204,1
1903,1124,0
1903,1259,0
1914,1447,1
1916,294,0
1917,1416,0
1918,1182,0
1918,1836,0
1936,144,0
1942,2970,1
1971,2280,1
1974,1207,1
1976,2959,1
2002,1424,1
2010,1245,1
2023,1852,0
2038,519,1
2055,1392,1
2075,556,1
2092,2566,1
2101,2437,1
2102,2129,0
2104,593,1
2110,1915,1
2147,2237,1
2159,1544,1
2165,1446,1
2166,1478,1
2171,1421,1
2188,1290,1
2191,1676,1
2194,1575,1
2206,385,0
2206,1574,0
2226,686,1
2228,479,1
2234,1784,1
2253,1342,1
2257,2425,0
2257,2639,0
2261,643,0
2261,760,0
2273,648,1
2275,2263,1
2280,1756,1
2287,1068,1
2292,2182,1
2309,813,1
2322,1852,0
2328,701,1
2333,1802,1
2411,2595,1
2419,2037,0
2450,1792,1
2468,1260,0
2468,1474,0
2481,1836,0
2484,1277,1
2487,1536,1
2512,478,0
2512,1711,0
2513,548,0
2527,1944,0
2529,1021,1
2536,955,1
2540,549,0
2577,2665,1
2590,1302,1
2594,2403,0
2600,2997,1
2602,792,0
2602,1059,0
2602,1269,1
2622,2341,0
2624,1250,0
2628,836,0
2646,623,0
2649,1408,1
2656,2576,1
2666,2051,1
2710,2379,1
2723,1357,0
2742,2386,1
2762,2700,1
2768,2352,1
2769,1319,0
2792,1809,1
2793,825,1
2801,338,0
2806,1438,1
2808,1837,1
2812,788,1
2823,2871,1
2828,2482,1
2830,2726,0
2849,2079,0
2861,478,0
2861,2144,1
2876,363,0
2890,1068,1
2894,1164,1
2908,1808,1
2921,201,0
2931,1727,1
2938,1785,1
2940,2108,1
2940,2928,0
2959,1751,1
2962,471,0
2965,1391,1
2967,1847,1
2975,2414,1
2982,1224,1
3007,1333,1
3007,2026,0
3015,89,0
3015,1577,0
3026,2620,1
