url, extraction, lexical, syntactic
https://www.imdb.com/name/nm0016465/bio,"The Fantastics",0,0
https://www.imdb.com/name/nm0016465/bio,"Murder in the Cathedral",0,0
https://www.imdb.com/name/nm0016465/bio,"Songs of Six Families, The",0,0
https://www.imdb.com/name/nm0016465/bio,"American Masters",0,0
https://www.imdb.com/name/nm0016465/bio,"You're the Top: The Cole Porter Story",0,0
https://www.imdb.com/name/nm1162227/bio,"The Dauphin",0,0
https://www.imdb.com/name/nm1162227/bio,"Brave New World",0,0
https://www.imdb.com/name/nm1162227/bio,"Bonobo",0,0
https://www.imdb.com/name/nm1162227/bio,"The Threepenny Opera",0,0
https://www.imdb.com/name/nm0317036/bio,"A Date with Judy",1,1
https://www.imdb.com/name/nm0317036/bio,"Studio One in Hollywood",1,1
https://www.imdb.com/name/nm0317036/bio,"The Defenders",1,1
https://www.imdb.com/name/nm0424644/bio,"Dunkirk ",1,1
https://www.imdb.com/name/nm11166211/bio,"2001: A Space Odyssey",0,0
https://www.imdb.com/name/nm11166211/bio,"Iliad and the Odyssey",0,0
https://www.imdb.com/name/nm11166211/bio,"Les Misérables",0,0
https://www.imdb.com/name/nm11166211/bio,"The Youth Are Dancing",1,1
https://www.imdb.com/name/nm11166211/bio,"Unseen Gardens",1,1
https://www.imdb.com/name/nm11166211/bio,"Emmaline",1,1
https://www.imdb.com/name/nm11166211/bio,"Heaven",1,1
https://www.imdb.com/name/nm2976050/bio,"György Pálfi's Free Fall",0,0
https://www.imdb.com/name/nm2976050/bio,"Easy Living",0,0
https://www.imdb.com/name/nm0156955/bio,"Vengeance!",0,0
https://www.imdb.com/name/nm0156955/bio,"Blood Brothers" & "The Most Contemporary",0,0
https://www.imdb.com/name/nm0156955/bio,"The Generation Gap",0,0
https://www.imdb.com/name/nm0156955/bio,"The Green Dragon Conspiracy",0,0
https://www.imdb.com/name/nm0156955/bio,"Princess Chang Ping",0,0
https://www.imdb.com/name/nm0156955/bio,"Dynasty",0,0
https://www.imdb.com/name/nm0156955/bio,"Legend of the Owl",0,0
https://www.imdb.com/name/nm0156955/bio,"The Challenger",0,0
https://www.imdb.com/name/nm0156955/bio,"The Loot",0,0
https://www.imdb.com/name/nm0156955/bio,"Heaven Can Help",0,0
https://www.imdb.com/name/nm0156955/bio,"Silent Love",0,0
https://www.imdb.com/name/nm0156955/bio,"The Wrong Couples",0,0
https://www.imdb.com/name/nm0156955/bio,"Mr. Handsome",0,0
https://www.imdb.com/name/nm0156955/bio,"Double Fattiness",0,0
https://www.imdb.com/name/nm0156955/bio,"My Dear Son",0,0
https://www.imdb.com/name/nm0156955/bio,"Will of Iron",0,0
https://www.imdb.com/name/nm0156955/bio,"Mother of a Different Kind",0,0
https://www.imdb.com/name/nm0156955/bio,"Revolving Doors of Vengeance",0,0
https://www.imdb.com/name/nm0002124/bio,"17 Again",0,0
https://www.imdb.com/name/nm0002124/bio,"Hannah Montana: The Movie",0,0
https://www.imdb.com/name/nm0002124/bio,"The Office",1,1
https://www.imdb.com/name/nm1143816/bio,"Miss Stevens",1,1
https://www.imdb.com/name/nm1143816/bio,"No Reservations",1,1
https://www.imdb.com/name/nm1143816/bio,"Fractured",1,1
